life_history,Taxon,Habitat,Phylum,Class,Family,Genus,Species,Name,High_acc_temp,Low_acc_temp,Acc_window,proximity_high_acc_ctmax,Source,ctmax,ctmax_ARR,duration,latitude,longitude,Metric,ramping,abs_latitude,Latitudinal_bin,min_latitudinal_bin,Hemisphere,Abs_northern_distribution,Abs_southern_distrib,min_hemisphere_lim,max_hemisphere_lim,lat_range_size,mid_latitude,mean_env_temp,max_env_temp,Ctmax_now,TSM,time_loss_TSM_4.5,time_loss_TSM_8.5,time_gained_with_acclimation_4.5,time_gained_with_acclimation_8.5,percent_increase_TSM,Error_checked,Reference,doi,Jstor_ref,ref,url,,,,,,,,
adult,aquatic invertebrates,freshwater,Arthropoda,Insecta,Dytiscidae,Agabus,brunneus,Agabus brunneus,20.5,14.5,6.0,25.8,wild,46.3,0.1,7,36,-6,leth,60.0,36,mid,37.5,N,51,30,30,51,21,41,29.0,32.2,46.7,14.5,562.9,338.7,28.1,16.9,5,10/04/2017,Calosi_et_al2008,doi:10.1111/j.1365-2699.2007.01787.x,,,,,,,,,,,
adult,aquatic invertebrates,marine,Arthropoda,Malacostraca,Archaeobalanidae,Striatobalanus,amaryllis,Striatobalanus amaryllis,31.4,27.4,4.0,10.0,wild,41.4,0.1,90,1,104,crit,1.0,1,low,12.5,N,45,-20,0,45,45,23,31.0,33.0,41.4,8.4,458.1,278.3,22.9,13.9,5,,Khanh Dung unpub,-,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Amphibia,Ranidae,Rana,catesbeiana,Rana catesbeiana,25.0,15.0,10.0,13.0,wild,38.0,0.1,7,39,-95,crit,60.0,39,mid,37.5,N,49,19,19,49,31,34,32.8,38.2,38.4,0.2,9.2,5.5,0.5,0.3,5,13/02/2017,"Lotshaw, 1977",doi: 10.1016/0300-9629(77)90239-0,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Amphibia,Ranidae,Rana,sylvatica,Rana sylvatica,23.0,7.0,16.0,11.0,wild,34.0,0.1,7,39,-84,crit,60.0,39,mid,37.5,N,69,29,29,69,40,49,29.1,34.6,34.3,0.0,0.0,0.0,0.0,0.0,0,13/02/2017,"Lotshaw, 1977",doi: 10.1016/0300-9629(77)90239-0,,,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Drosophilidae,Drosophila,repleta,Drosophila repleta,27.0,19.0,8.0,12.5,wild,39.5,0.1,5,-19,146,crit,6.0,19,low,12.5,S,64,-38,0,64,64,32,30.6,37.3,39.7,2.4,118.4,72.7,6.2,3.8,5,15/04/2017,Overgaard et al 2011,doi: 10.1086/661780,,,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Coleoptera,Bothrometopus,randi,Bothrometopus randi,15.0,7.5,7.5,21.3,wild,36.3,0.1,7,-47,37,crit,15.0,47,mid,37.5,S,-46,-47,47,46,1,47,26.4,31.3,36.9,5.6,390.2,231.8,20.8,12.4,5,14/04/2017,Klok and Chown 2003,,,"Biological journal of the Linnean Society 78, 401-414",,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Drosophilidae,Drosophila,simulans,Drosophila simulans,27.0,19.0,8.0,12.2,wild,39.2,0.1,5,-37,145,crit,6.0,37,mid,37.5,S,77,-42,0,77,77,39,28.8,33.5,39.3,5.8,326.8,191.7,17.6,10.3,5,15/04/2017,Overgaard et al 2011,doi: 10.1086/661780,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Scincidae,Hemiergis,decresiensis,Lygosoma decresiensus,20.0,10.0,10.0,13.0,wild,33.0,0.1,10,-34,146,crit,1.0,34,mid,37.5,S,-29,-38,29,38,9,34,31.4,38.6,33.6,0.0,0.0,0.0,0.0,0.0,0,9/04/2017,"Brattstrom, 1971",,,"Copeia 3, 554-557",,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Viperidae,Trimeresurus,mucrosquamatus,Trimeresurus mucrosquamatus,30.0,20.0,10.0,8.7,wild,38.7,0.1,14,24,121,crit,15.0,24,low,12.5,N,40,18,18,40,21,29,20.2,25.8,38.1,12.3,638.6,404.0,34.5,21.8,5,11/04/2017,"Huang et al., 2007",,,Zool Studies 46(5) 592-599,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Reptilia,Viperidae,Trimeresurus,gracilis,Trimeresurus gracilis,30.0,20.0,10.0,8.3,wild,38.3,0.1,14,24,121,crit,15.0,24,low,12.5,N,25,22,22,25,4,23,17.7,23.1,37.6,14.5,777.8,491.0,43.6,27.5,5,11/04/2017,"Huang et al., 2007",,,Zool Studies 46(5) 592-599,,,,,,,,,
